Ready_for_Service_Date,Area_ID,Service_Status,Technology_Type,longitude,latitude
29/07/2015,2BLA-51-14-NEWB-10-04,In Service,Fixed Wireless,149.277113,-33.472145
29/07/2015,2BLA-51-14-NEWB-10-05,In Service,Fixed Wireless,149.369299,-33.6049
29/07/2015,2BLA-51-14-NEWB-10-06,In Service,Fixed Wireless,149.275871,-33.60981
7/03/2014,2BLG-51-01-BELL-00-01,In Service,Fixed Wireless,152.858631,-30.436833
7/03/2014,2BLG-51-01-BELL-00-02,In Service,Fixed Wireless,152.889365,-30.428964
7/03/2014,2BLG-51-01-BELL-00-03,In Service,Fixed Wireless,152.895439,-30.456941
7/03/2014,2BLG-51-01-BELL-10-04,In Service,Fixed Wireless,152.871387,-30.43211
7/03/2014,2BLG-51-01-BELL-10-05,In Service,Fixed Wireless,152.897166,-30.428972
7/03/2014,2BLG-51-01-BELL-10-06,In Service,Fixed Wireless,152.918772,-30.430559
7/03/2014,2BLG-51-01-BELL-10-07,In Service,Fixed Wireless,152.897416,-30.437769
